run,split,target_column,metric_target_column,row_sample_strategy,max_train_rows,max_steps,best_step,rows_loaded_train,rows_loaded_eval,rows_scored,model_n,model_nll,gnomad_nll,delta_nll_model_minus_gnomad,model_brier,gnomad_brier,delta_brier_model_minus_gnomad,model_mae,gnomad_mae,model_spearman,gnomad_spearman,model_pearson,gnomad_pearson,model_mean_pred,gnomad_mean_pred,model_mean_target
abraom_balanced,val,af_abraom,af_abraom,balanced-af,100000,1000,500,100000,5000,4999,4999,0.5182460902153373,0.3801559690060584,0.13809012120927888,0.07003070205544439,0.004448778422492476,0.06558192363295191,0.2051036554901218,0.021354983204389954,0.11363016964555744,0.9409296612936267,0.13632115634670802,0.9685343496924496,0.20874067425435722,0.2140092180372943,0.2159671907326768
abraom_balanced,test,af_abraom,af_abraom,balanced-af,100000,1000,500,100000,5000,5000,5000,0.5139221858970378,0.6616544066414541,-0.1477322207444164,0.06855635453927837,0.01747937850077667,0.0510769760385017,0.20416463734749704,0.04138383995846516,0.10360208570072114,0.7925851666555541,0.1435308924099207,0.8734712987418461,0.21107772272676228,0.1918672173809945,0.21297033497896045
scrambled_balanced,val,scrambled_af_abraom,af_abraom,balanced-af,100000,1000,500,100000,5000,4999,4999,0.5308965920874025,0.3801559690060584,0.15074062308134406,0.0738777587194649,0.004448778422492476,0.06942898029697243,0.19390337595764184,0.021354983204389954,-0.012660054758581786,0.9409296612936267,0.006719591382354087,0.9685343496924496,0.16526718139886903,0.2140092180372943,0.2159671907326768
scrambled_balanced,test,scrambled_af_abraom,af_abraom,balanced-af,100000,1000,500,100000,5000,5000,5000,0.5239080010179742,0.6616544066414541,-0.13774640562347995,0.07162435399739703,0.01747937850077667,0.054144975496620354,0.19302402990851553,0.04138383995846516,0.001261128650800066,0.7925851666555541,0.053709490189597885,0.8734712987418461,0.1690484615087509,0.1918672173809945,0.21297033497896045
gnomad_balanced,val,af_gnomad,af_abraom,balanced-af,100000,1000,1000,100000,5000,4999,4999,0.5230504131320334,0.3801559690060584,0.14289444412597496,0.07097720568747573,0.004448778422492476,0.06652842726498326,0.2017611319135489,0.021354983204389954,0.10674764941238674,0.9409296612936267,0.09675175941404367,0.9685343496924496,0.1977551780547183,0.2140092180372943,0.2159671907326768
gnomad_balanced,test,af_gnomad,af_abraom,balanced-af,100000,1000,1000,100000,5000,5000,5000,0.5340327356063094,0.6616544066414541,-0.12762167103514477,0.07181647210273086,0.01747937850077667,0.054337093601954184,0.19922423014659435,0.04138383995846516,0.11752140248147448,0.7925851666555541,0.04618835667333605,0.8734712987418461,0.18888699024766684,0.1918672173809945,0.21297033497896045
regional_random,val,af_abraom,af_abraom,random,100000,1000,500,100000,2000,2000,2000,0.4391484452710143,0.2852869006947014,0.1538615445763129,0.058288154296091854,0.0021082390622133356,0.05617991523387852,0.17976814152207227,0.0165364937088857,0.12507789222441867,0.9288319288984378,0.14528465077447528,0.9822247039754627,0.16308098471164703,0.16179002521089889,0.16249526444170623
regional_random,test,af_abraom,af_abraom,random,100000,1000,500,100000,2000,1999,1999,0.4515282857812405,0.5236019130487488,-0.07207362726750832,0.059987214112261766,0.012649582213197294,0.047337631899064474,0.18332030457058263,0.03173730870717366,0.0680207107888331,0.7752801240403716,0.09811171281539927,0.8929950846858615,0.1663057280405275,0.153007154495553,0.16796536228664707
