run,PRO-cap,eCLIP,ATAC-seq,Histone ChIP-seq,polyA plus RNA-seq,total RNA-seq
Linear,0.330964345972,0.478519330519,0.534592850342,0.549491733092,0.506285508304,0.559038630691
MLP,0.376438434977,0.494506850766,0.543778832224,0.556283098291,0.520788186065,0.567694252783
Local conv,0.348415790553,0.487100524391,0.550056698776,0.559532297347,0.510495516634,0.564038636704
Bio-readout,0.377801726090,0.494457273634,0.548688743979,0.559185240478,0.519200619122,0.572853667668
Gated,0.380783535373,0.496388818502,0.547499444192,0.560538341489,0.520795754608,0.568867867649
Multiscale,0.372912975508,0.492833962058,0.551654407872,0.566449549426,0.519732143293,0.571208756839
Recipe A 40k,0.423961483001,0.511733923547,0.554539310996,0.572362968757,0.533804442011,0.586791834354
Aggressive 20k,0.424495875964,0.511118757019,0.559815903524,0.571592292316,0.536183008814,0.586912883287
