dataset,contrast,side,base_model,compare_model,n,path
abraom_pathogenic_present,m5_v2_vs_m4_real,base_only_correct,M4_dynamic_gated,M5_v2_calibrated,9,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/abraom_pathogenic_present.m5_v2_vs_m4_real.base_only_correct.csv
abraom_pathogenic_present,m5_v2_vs_m4_real,compare_only_correct,M4_dynamic_gated,M5_v2_calibrated,24,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/abraom_pathogenic_present.m5_v2_vs_m4_real.compare_only_correct.csv
global_nonbr_no_abraom,real_abraom_vs_scrambled,base_only_correct,M7_dynamic_scrambled,M4_dynamic_gated,26,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.real_abraom_vs_scrambled.base_only_correct.csv
global_nonbr_no_abraom,real_abraom_vs_scrambled,compare_only_correct,M7_dynamic_scrambled,M4_dynamic_gated,44,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.real_abraom_vs_scrambled.compare_only_correct.csv
global_nonbr_no_abraom,real_abraom_vs_gnomad_only,base_only_correct,M2_gnomad_only,M4_dynamic_gated,22,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.real_abraom_vs_gnomad_only.base_only_correct.csv
global_nonbr_no_abraom,real_abraom_vs_gnomad_only,compare_only_correct,M2_gnomad_only,M4_dynamic_gated,37,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.real_abraom_vs_gnomad_only.compare_only_correct.csv
global_nonbr_no_abraom,scrambled_vs_gnomad_only,base_only_correct,M2_gnomad_only,M7_dynamic_scrambled,22,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.scrambled_vs_gnomad_only.base_only_correct.csv
global_nonbr_no_abraom,scrambled_vs_gnomad_only,compare_only_correct,M2_gnomad_only,M7_dynamic_scrambled,19,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.scrambled_vs_gnomad_only.compare_only_correct.csv
global_nonbr_no_abraom,m5_v2_vs_scrambled,base_only_correct,M7_dynamic_scrambled,M5_v2_calibrated,207,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.m5_v2_vs_scrambled.base_only_correct.csv
global_nonbr_no_abraom,m5_v2_vs_scrambled,compare_only_correct,M7_dynamic_scrambled,M5_v2_calibrated,94,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.m5_v2_vs_scrambled.compare_only_correct.csv
global_nonbr_no_abraom,m5_v2_vs_m4_real,base_only_correct,M4_dynamic_gated,M5_v2_calibrated,249,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.m5_v2_vs_m4_real.base_only_correct.csv
global_nonbr_no_abraom,m5_v2_vs_m4_real,compare_only_correct,M4_dynamic_gated,M5_v2_calibrated,118,artifacts/adapter_fusion_m7_control_analysis/discordant_variant_tables/global_nonbr_no_abraom.m5_v2_vs_m4_real.compare_only_correct.csv
