dataset,contrast,base_model,compare_model,n,both_correct,both_wrong,base_only_correct,compare_only_correct,mcnemar_p,base_mcc,compare_mcc,delta_mcc,base_recall,compare_recall,delta_recall,base_specificity,compare_specificity,delta_specificity
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,163,43,84,8,28,0.0011932429624721408,0.0,0.0,0.0,0.3128834355828221,0.43558282208588955,0.12269938650306744,,,
abraom_pathogenic_present,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,163,47,83,9,24,0.013530986849218607,0.0,0.0,0.0,0.34355828220858897,0.43558282208588955,0.09202453987730058,,,
abraom_pathogenic_common,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,60,16,43,0,1,1.0,0.0,0.0,0.0,0.26666666666666666,0.2833333333333333,0.016666666666666663,,,
abraom_pathogenic_common,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,60,15,43,0,2,0.5,0.0,0.0,0.0,0.25,0.2833333333333333,0.033333333333333326,,,
abraom_pathogenic_common,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,60,15,44,0,1,1.0,0.0,0.0,0.0,0.25,0.26666666666666666,0.016666666666666663,,,
abraom_pathogenic_common,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,60,9,41,7,3,0.34375,0.0,0.0,0.0,0.26666666666666666,0.2,-0.06666666666666665,,,
abraom_pathogenic_common,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,60,9,40,8,3,0.2265625,0.0,0.0,0.0,0.2833333333333333,0.2,-0.08333333333333331,,,
global_nonbr_no_abraom,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,1989,1559,360,26,44,0.04139142867391546,0.538528773819855,0.5474008583293484,0.008872084509493394,0.8434718100890207,0.8753709198813057,0.03189910979228494,0.6989079563182528,0.6599063962558502,-0.03900156006240252
global_nonbr_no_abraom,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,1989,1566,364,22,37,0.06744461190078899,0.5367919891656469,0.5474008583293484,0.010608869163701518,0.8545994065281899,0.8753709198813057,0.020771513353115778,0.6801872074882995,0.6599063962558502,-0.020280811232449292
global_nonbr_no_abraom,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,1989,1566,382,22,19,0.755228657504631,0.5367919891656469,0.538528773819855,0.0017367846542081233,0.8545994065281899,0.8434718100890207,-0.011127596439169163,0.6801872074882995,0.6989079563182528,0.018720748829953227
global_nonbr_no_abraom,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,1989,1378,310,207,94,6.481929688140734e-11,0.538528773819855,0.50006754101164,-0.03846123280821501,0.8434718100890207,0.6906528189910979,-0.15281899109792285,0.6989079563182528,0.84399375975039,0.14508580343213728
global_nonbr_no_abraom,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,1989,1354,268,249,118,6.948140738653201e-12,0.5474008583293484,0.50006754101164,-0.0473333173177084,0.8753709198813057,0.6906528189910979,-0.1847181008902078,0.6599063962558502,0.84399375975039,0.1840873634945398
