dataset,contrast,base_model,compare_model,discordance_status,group_column,group_value,n
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,af_abraom_bin,>1e-2,1
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,af_abraom_bin,absent,25
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,af_abraom_bin,>1e-2,26
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,af_abraom_bin,absent,59
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,label,0,23
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,label,0,28
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,label,1,45
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,variant_type,INDEL,1
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,variant_type,SNV,22
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,variant_type,INDEL,1
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,variant_type,SNV,72
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.01,0.05]",1
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,absent,22
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0,0.001]",3
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.001,0.005]",2
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.005,0.01]",6
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.01,0.05]",14
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.05,0.1]",3
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,absent,45
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,af_abraom_bin,>1e-2,1
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,af_abraom_bin,absent,22
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,af_abraom_bin,>1e-2,28
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,af_abraom_bin,absent,45
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,label,0,242
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,label,0,7
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,variant_type,SNV,242
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,variant_type,SNV,7
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0,0.001]",20
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.001,0.005]",73
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.005,0.01]",58
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.01,0.05]",84
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.05,0.1]",6
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.1,0.5]",1
