dataset,model,group_column,group_value,n,errors,error_rate,mean_af_abraom,mean_score
abraom_common_benign,M0,GeneSymbol,ATRN,13,7,0.5384615384615384,0.21901068091392517,0.4915371330884787
abraom_common_benign,M0,GeneSymbol,BARX2,1,1,1.0,0.013663999736309052,0.5000312328338623
abraom_common_benign,M0,GeneSymbol,BBX,1,1,1.0,0.013237000443041325,0.709019124507904
abraom_common_benign,M0,GeneSymbol,BEST4,1,1,1.0,0.013237000443041325,0.4491509795188904
abraom_common_benign,M0,GeneSymbol,BFSP1,36,6,0.16666666666666666,0.2117396742105484,0.23941842652857304
abraom_common_benign,M0,GeneSymbol,BICRA,6,2,0.3333333333333333,0.5516653060913086,0.37737788756688434
abraom_common_benign,M0,GeneSymbol,BIN1,74,9,0.12162162162162163,0.1667533665895462,0.2542843077633832
abraom_common_benign,M0,GeneSymbol,BLK,64,4,0.0625,0.2967507541179657,0.2429621344199404
abraom_common_benign,M0,GeneSymbol,BLM,41,7,0.17073170731707318,0.1568494439125061,0.23628744919125627
abraom_common_benign,M0,GeneSymbol,BMP15,6,2,0.3333333333333333,0.06942550092935562,0.34658825645844143
abraom_common_benign,M0,GeneSymbol,BMP7,23,2,0.08695652173913043,0.19000175595283508,0.25260274209406064
abraom_common_benign,M0,GeneSymbol,BMP8B,4,3,0.75,0.10600874572992325,0.6330411061644554
abraom_common_benign,M0,GeneSymbol,BRD10,1,1,1.0,0.012810000218451023,0.45374593138694763
abraom_common_benign,M0,GeneSymbol,BSN,3,2,0.6666666666666666,0.37532031536102295,0.49253488580385846
abraom_common_benign,M0,GeneSymbol,BTK,23,1,0.043478260869565216,0.19243530929088593,0.23472509986680487
abraom_common_benign,M0,GeneSymbol,BTNL8,1,1,1.0,0.020591000095009804,0.49243220686912537
abraom_common_benign,M0,GeneSymbol,BUB1,3,0,0.0,0.04483333230018616,0.26481927434603375
abraom_common_benign,M0,GeneSymbol,C2,2,1,0.5,0.07899250090122223,0.4029233157634735
abraom_common_benign,M0,GeneSymbol,C9,5,3,0.6,0.23168238997459412,0.4610243201255798
abraom_common_benign,M0,GeneSymbol,CA14,1,1,1.0,0.01793299987912178,0.4474602937698364
abraom_common_benign,M0,GeneSymbol,CABP2,7,1,0.14285714285714285,0.22227643430233002,0.3332501841442926
abraom_common_benign,M0,GeneSymbol,CACNA2D1,75,9,0.12,0.15904265642166138,0.23550732870896657
abraom_common_benign,M0,GeneSymbol,CACNA2D2,17,2,0.11764705882352941,0.07040347158908844,0.25531305153580275
abraom_common_benign,M0,GeneSymbol,CALR,8,1,0.125,0.10755950212478638,0.23652289062738419
abraom_common_benign,M0,GeneSymbol,CAMK2G,3,1,0.3333333333333333,0.5233420133590698,0.23857979973157248
abraom_common_benign,M0,GeneSymbol,CAMSAP2,1,1,1.0,0.011102000251412392,0.5755879878997803
abraom_common_benign,M0,GeneSymbol,CAP2,1,1,1.0,0.6362079977989197,0.4701283872127533
abraom_common_benign,M0,GeneSymbol,CAPN2,1,1,1.0,0.027753999456763268,0.5903069972991943
abraom_common_benign,M0,GeneSymbol,CAPS,1,1,1.0,0.013237000443041325,0.6201616525650024
abraom_common_benign,M0,GeneSymbol,CASK,18,1,0.05555555555555555,0.17564962804317474,0.22786078022585976
abraom_common_benign,M0,GeneSymbol,CASS4,2,2,1.0,0.01216949988156557,0.44990207254886627
abraom_common_benign,M0,GeneSymbol,CCDC112,1,1,1.0,0.01067500002682209,0.5566405653953552
abraom_common_benign,M0,GeneSymbol,CCM2,25,6,0.24,0.21802924573421478,0.28297792553901674
abraom_common_benign,M0,GeneSymbol,CCNJL,1,1,1.0,0.01067500002682209,0.43206343054771423
abraom_common_benign,M0,GeneSymbol,CCR5,2,2,1.0,0.02241700142621994,0.5936661958694458
abraom_common_benign,M0,GeneSymbol,CCT5,47,5,0.10638297872340426,0.5427676439285278,0.25662407025377804
abraom_common_benign,M0,GeneSymbol,CD27,8,2,0.25,0.2990841269493103,0.300083820708096
abraom_common_benign,M0,GeneSymbol,CD40,20,4,0.2,0.10025624930858612,0.3124759718775749
