dataset,model,group_column,group_value,n,errors,error_rate,mean_af_abraom,mean_score
abraom_common_benign,M0,variant_type,SNV,12099,2386,0.19720638069261923,0.2144612818956375,0.28504296932629647
abraom_common_benign,M0,clinvar_regional_cohort,unknown,11548,2236,0.1936266020090059,0.21248653531074524,0.2835150260864078
abraom_common_benign,M4_dynamic_gated,variant_type,SNV,12099,1580,0.1305893049012315,0.2144612818956375,0.3367628660815069
abraom_common_benign,M4_dynamic_gated,clinvar_regional_cohort,unknown,11548,1473,0.12755455490128162,0.21248653531074524,0.33504171971687197
abraom_common_benign,M2_gnomad_only,variant_type,SNV,12099,1404,0.1160426481527399,0.2144612818956375,0.33675080135123514
abraom_common_benign,M7_dynamic_scrambled,variant_type,SNV,12099,1345,0.11116621208364327,0.2144612818956375,0.3373733329090888
abraom_common_benign,M2_gnomad_only,clinvar_regional_cohort,unknown,11548,1304,0.11291998614478697,0.21248653531074524,0.33501836842498256
abraom_common_benign,M7_dynamic_scrambled,clinvar_regional_cohort,unknown,11548,1248,0.1080706615864219,0.21248653531074524,0.33560433705147985
abraom_common_benign,M0,specificity_bin,"(0.01,0.05]",5172,878,0.1697602474864656,0.2810513377189636,0.2713688113780697
abraom_common_benign,M0,specificity_bin,"(0.001,0.005]",2846,643,0.22593113141250878,0.1421542912721634,0.29704391927532303
abraom_common_benign,M0,specificity_bin,"(0.005,0.01]",2691,607,0.2255667038275734,0.141580730676651,0.29941973876206684
abraom_common_benign,M4_dynamic_gated,specificity_bin,"(0.01,0.05]",5172,586,0.11330239752513535,0.2810513377189636,0.32277854338392026
abraom_common_benign,M2_gnomad_only,specificity_bin,"(0.01,0.05]",5172,530,0.10247486465583913,0.2810513377189636,0.32229493038940593
abraom_common_benign,M7_dynamic_scrambled,specificity_bin,"(0.01,0.05]",5172,505,0.09764114462490332,0.2810513377189636,0.32299977243638095
abraom_common_benign,M5_v2_calibrated,variant_type,SNV,12099,502,0.04149103231672039,0.2144612818956375,0.2119609287335342
abraom_common_benign,M5_v2_calibrated,clinvar_regional_cohort,unknown,11548,485,0.04199861447869761,0.21248653531074524,0.2119710789413149
abraom_common_benign,M4_dynamic_gated,specificity_bin,"(0.005,0.01]",2691,417,0.15496098104793757,0.141580730676651,0.3512926769800365
abraom_common_benign,M4_dynamic_gated,specificity_bin,"(0.001,0.005]",2846,410,0.14406184118060436,0.1421542912721634,0.3503920695366821
abraom_common_benign,M2_gnomad_only,specificity_bin,"(0.005,0.01]",2691,371,0.13786696395392048,0.141580730676651,0.35233130814062535
abraom_common_benign,M7_dynamic_scrambled,specificity_bin,"(0.005,0.01]",2691,361,0.13415087328130806,0.141580730676651,0.35273898751462807
abraom_common_benign,M2_gnomad_only,specificity_bin,"(0.001,0.005]",2846,355,0.1247364722417428,0.1421542912721634,0.3508295409030589
abraom_common_benign,M7_dynamic_scrambled,specificity_bin,"(0.001,0.005]",2846,338,0.11876317638791287,0.1421542912721634,0.3513591274519622
abraom_common_benign,M5_v2_calibrated,specificity_bin,"(0.001,0.005]",2846,205,0.07203092059030218,0.1421542912721634,0.23377239773241773
abraom_common_benign,M0,specificity_bin,"(0,0.001]",844,163,0.19312796208530805,0.1609479784965515,0.2927225532266201
abraom_pathogenic_present,M5_dynamic_gated,variant_type,SNV,163,157,0.9631901840490797,0.05217956379055977,0.3060248565454424
abraom_common_benign,M5_v2_calibrated,specificity_bin,"(0.005,0.01]",2691,151,0.056112969156447416,0.141580730676651,0.22611251508991648
abraom_pathogenic_present,M5_dynamic_gated,clinvar_regional_cohort,unknown,148,143,0.9662162162162162,0.043028417974710464,0.30835732278993
br_only,M7_dynamic_scrambled,clinvar_regional_cohort,brazilian,504,130,0.25793650793650796,0.3206697106361389,0.6991410520193833
br_only,M7_dynamic_scrambled,variant_type,SNV,454,128,0.28193832599118945,0.3206697106361389,0.6900553788316932
br_only,M2_gnomad_only,clinvar_regional_cohort,brazilian,504,128,0.25396825396825395,0.3206697106361389,0.6956640138985619
br_only,M2_gnomad_only,variant_type,SNV,454,126,0.2775330396475771,0.3206697106361389,0.6870046429303249
