step,tokens_seen,elapsed_seconds,loss,learning_rate,head_learning_rate,decoder_learning_rate,backbone_learning_rate
1,1048576,27.886785,5.91493306,5e-05,5e-05,5e-06,2.5e-06
2,2097152,29.443979,3.94465306,3.3333333333333335e-05,3.3333333333333335e-05,3.3333333333333333e-06,1.6666666666666667e-06
