assay_type,local_conv,mlp,linear_repro,delta_vs_mlp,delta_vs_linear,public_best_model,public_best_score,gap_to_public_best
PRO-cap,0.3484157905533726,0.376438434977154,0.3309643459722969,-0.02802264442378144,0.01745144458107567,NTv3 650M (pos),0.5078722923994065,0.15945650184603388
eCLIP,0.48710052439101664,0.49450685076557693,0.4785193305188185,-0.00740632637456029,0.008581193872198134,NTv3 650M (pos),0.5836492339769999,0.09654870958598322
polyA plus RNA-seq,0.5104955166338213,0.5207881860645242,0.5062855083040851,-0.010292669430702839,0.00421000832973617,,,
ATAC-seq,0.5500566987755386,0.5437788322237439,0.5345928503415611,0.006277866551794742,0.015463848433977523,NTv3 650M (pos),0.7590972622235617,0.20904056344802302
Histone ChIP-seq,0.5595322973465576,0.5562830982913421,0.5494917330916131,0.0032491990552154792,0.010040564254944484,NTv3 650M (pos),0.7174710084994633,0.1579387111529057
total RNA-seq,0.5640386367040197,0.5676942527830616,0.5590386306906915,-0.003655616079041968,0.005000006013328173,,,
