track_id,assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ENCSR046BCI_M,PRO-cap,8064,8191,8127,0.0008539401227858506,0.04274968377755044,178654
ENCSR046BCI_M,PRO-cap,8192,8319,8255,0.0011393879802925541,0.057039685286767554,171888
ENCSR046BCI_M,PRO-cap,8320,8447,8383,0.0011602197895050172,0.05808256081466963,166247
ENCSR046BCI_M,PRO-cap,8448,8575,8511,0.001241142758221951,0.06213370120575894,161337
ENCSR046BCI_M,PRO-cap,8576,8703,8639,0.0013021938670675247,0.06519002275310892,156068
ENCSR046BCI_M,PRO-cap,8704,8831,8767,0.0010621952894498488,0.05317528890180998,151489
ENCSR046BCI_M,PRO-cap,8832,8959,8895,0.0013565334373408316,0.0679103533521835,146372
ENCSR046BCI_M,PRO-cap,8960,9087,9023,0.0013537321478827246,0.06777011607405588,140847
ENCSR046BCI_M,PRO-cap,9088,9215,9151,0.0010332452313109,0.05172600013113569,135475
ENCSR046BCI_M,PRO-cap,9216,9343,9279,0.0010680521237698293,0.0534684919126954,129395
ENCSR046BCI_M,PRO-cap,9344,9471,9407,0.0010087148761476594,0.050497969150745135,123691
ENCSR046BCI_M,PRO-cap,9472,9599,9535,0.0009912949429726127,0.04962589789564373,118440
ENCSR046BCI_M,PRO-cap,9600,9727,9663,0.0008389715937379195,0.04200033395039095,114443
ENCSR046BCI_M,PRO-cap,9728,9855,9791,0.0007435518683167895,0.03722346145189966,108712
ENCSR046BCI_M,PRO-cap,9856,9983,9919,0.0007990149151993493,0.04000003518617247,103557
ENCSR046BCI_M,PRO-cap,9984,10111,10047,0.0009591512280901891,0.048016729278321416,98226
ENCSR046BCI_M,PRO-cap,10112,10239,10175,0.0008261396998531273,0.041357947685587794,91617
ENCSR046BCI_M,PRO-cap,10240,10367,10303,0.0008504764296829757,0.04257628545499906,85650
ENCSR046BCI_M,PRO-cap,10368,10495,10431,0.0009862238120833015,0.04937202852456255,79679
ENCSR046BCI_M,PRO-cap,10496,10623,10559,0.0009311651102619508,0.046615696986484156,74651
ENCSR046BCI_M,PRO-cap,10624,10751,10687,0.0011949448046790188,0.0598209536811581,68810
ENCSR046BCI_M,PRO-cap,10752,10879,10815,0.0008709864398784175,0.04360305118099523,62726
ENCSR046BCI_M,PRO-cap,10880,11007,10943,0.0007395565084369784,0.03702344699317834,57092
ENCSR046BCI_M,PRO-cap,11008,11135,11071,0.0005013454164811583,0.025098197690927103,51962
ENCSR046BCI_M,PRO-cap,11136,11263,11199,0.00043649851943486297,0.021851852579936576,46864
ENCSR046BCI_M,PRO-cap,11264,11391,11327,0.0005580727885678207,0.027938065678772446,41162
ENCSR046BCI_M,PRO-cap,11392,11519,11455,0.0006072122205480157,0.03039806857840033,35396
ENCSR046BCI_M,PRO-cap,11520,11647,11583,0.0004963526574466318,0.024848251747167947,30392
ENCSR046BCI_M,PRO-cap,11648,11775,11711,0.000519636630686902,0.026013886744923075,24768
ENCSR046BCI_M,PRO-cap,11776,11903,11839,0.0005337208366991416,0.026718965868406434,18552
ENCSR046BCI_M,PRO-cap,11904,12031,11967,0.0006897710318464659,0.034531102010001126,13378
ENCSR046BCI_M,PRO-cap,12032,12159,12095,0.00043022259530598405,0.021537669225902098,8209
ENCSR046BCI_M,PRO-cap,12160,12287,12223,0.0010203018794485805,0.05107803409186517,2708
ENCSR046BCI_P,PRO-cap,0,127,63,0.020340228082235106,1.0,519575
ENCSR046BCI_P,PRO-cap,128,255,191,0.009709120709227723,0.47733588187772313,516118
ENCSR046BCI_P,PRO-cap,256,383,319,0.009128313773345316,0.44878128880559937,510952
ENCSR046BCI_P,PRO-cap,384,511,447,0.006302864817023221,0.3098718849926792,505775
ENCSR046BCI_P,PRO-cap,512,639,575,0.005094197574017681,0.25044938303651015,499570
ENCSR046BCI_P,PRO-cap,640,767,703,0.004441974826124891,0.21838372746687412,493941
ENCSR046BCI_P,PRO-cap,768,895,831,0.003997543658057462,0.19653386588859667,488933
ENCSR046BCI_P,PRO-cap,896,1023,959,0.003718516396648621,0.18281586527027813,483174
ENCSR046BCI_P,PRO-cap,1024,1151,1087,0.0035340778060907723,0.17374818963693875,477461
ENCSR046BCI_P,PRO-cap,1152,1279,1215,0.0034111678233316256,0.16770548538297345,472368
ENCSR046BCI_P,PRO-cap,1280,1407,1343,0.0031146398255233977,0.15312708456026036,467236
ENCSR046BCI_P,PRO-cap,1408,1535,1471,0.003133086245183757,0.15403397801227975,461607
ENCSR046BCI_P,PRO-cap,1536,1663,1599,0.003194571472140589,0.15705681663081678,455530
ENCSR046BCI_P,PRO-cap,1664,1791,1727,0.002982248777382013,0.14661825645832707,449676
ENCSR046BCI_P,PRO-cap,1792,1919,1855,0.0026872361761148375,0.1321143580716204,444654
ENCSR046BCI_P,PRO-cap,1920,2047,1983,0.0025925708445107896,0.12746026416366038,438682
