assay_type,num_tracks,effect_at_0,threshold_10pct,threshold_5pct,rf_10pct_first_crossing_bp,rf_5pct_first_crossing_bp,rf_10pct_last_above_bp,rf_5pct_last_above_bp,effect_auc
ATAC-seq,5,0.03746037648342365,0.0037460376483423653,0.0018730188241711826,3072,9472,2944,12160,46.414435576090135
Histone ChIP-seq,4,0.023916815109688974,0.0023916815109688975,0.0011958407554844488,6016,12288,5888,12160,46.250309563166674
PRO-cap,10,0.022799198086137583,0.0022799198086137585,0.0011399599043068792,5888,12288,12160,12160,36.94481402588103
eCLIP,10,0.06546381968978887,0.006546381968978887,0.0032731909844894436,12288,12288,12160,12160,143.32499929886322
polyA plus RNA-seq,2,0.03326202900441459,0.0033262029004414596,0.0016631014502207298,12288,12288,12160,12160,86.21016199083094
total RNA-seq,3,0.04435185091564404,0.004435185091564404,0.002217592545782202,12288,12288,12160,12160,142.6860556261652
