assay_type,num_tracks,effect_at_0,threshold_10pct,threshold_5pct,rf_10pct_first_crossing_bp,rf_5pct_first_crossing_bp,rf_10pct_last_above_bp,rf_5pct_last_above_bp,effect_auc
ATAC-seq,5,0.019164737402267443,0.0019164737402267444,0.0009582368701133722,8704,12288,9344,12160,40.356184743498105
Histone ChIP-seq,4,0.012636337129581244,0.0012636337129581245,0.0006318168564790623,10624,12288,12032,12160,33.10187213907983
PRO-cap,10,0.015039372752226724,0.0015039372752226725,0.0007519686376113362,12288,12288,12160,12160,38.652884410235195
eCLIP,10,0.09905063240595727,0.009905063240595728,0.004952531620297864,9984,12288,12160,12160,256.89203429027236
polyA plus RNA-seq,2,0.1267694362061376,0.01267694362061376,0.00633847181030688,8832,9984,12160,12160,283.8132691166888
total RNA-seq,3,0.1201425057350959,0.012014250573509591,0.006007125286754796,9984,12288,12160,12160,331.9299814561805
