track_id,assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ENCSR046BCI_M,PRO-cap,7040,7167,7103,0.00027350964188162133,0.267094431209543,1664
ENCSR046BCI_M,PRO-cap,7168,7295,7231,0.00018970877223322392,0.18525912383382967,1664
ENCSR046BCI_M,PRO-cap,7296,7423,7359,0.00020529856321725395,0.20048325387512955,1664
ENCSR046BCI_M,PRO-cap,7424,7551,7487,0.00019281298423615785,0.18829052606730678,1664
ENCSR046BCI_M,PRO-cap,7552,7679,7615,0.00019653748944829902,0.19192767243746797,1664
ENCSR046BCI_M,PRO-cap,7680,7807,7743,0.0001628414006343239,0.15902193056365765,1664
ENCSR046BCI_M,PRO-cap,7808,7935,7871,9.251097301242995e-05,0.09034111392713104,1664
ENCSR046BCI_M,PRO-cap,7936,8063,7999,0.0001647554227675895,0.1608910590137191,1664
ENCSR046BCI_M,PRO-cap,8064,8191,8127,0.00022575663312916452,0.2204614766140991,1664
ENCSR046BCI_M,PRO-cap,8192,8319,8255,0.00016618620990549598,0.1622882868194813,1484
ENCSR046BCI_M,PRO-cap,8320,8447,8383,0.00018407147724701644,0.179754052467632,1280
ENCSR046BCI_M,PRO-cap,8448,8575,8511,0.00016978175267468032,0.16579949558059887,1280
ENCSR046BCI_M,PRO-cap,8576,8703,8639,0.0003343220975528807,0.3264805213898688,1251
ENCSR046BCI_M,PRO-cap,8704,8831,8767,0.0002866735687803157,0.2799495961803361,1152
ENCSR046BCI_M,PRO-cap,8832,8959,8895,0.00024026572406101978,0.23463025458898562,1152
ENCSR046BCI_M,PRO-cap,8960,9087,9023,0.00026978955817648365,0.2634616026392593,1151
ENCSR046BCI_M,PRO-cap,9088,9215,9151,0.0002318640205662602,0.22642561434052486,906
ENCSR046BCI_M,PRO-cap,9216,9343,9279,0.00017155564396326945,0.16753177997647525,896
ENCSR046BCI_M,PRO-cap,9344,9471,9407,0.00010703533579154672,0.1045248055457552,896
ENCSR046BCI_M,PRO-cap,9472,9599,9535,0.0001732803158149967,0.16921599938494342,852
ENCSR046BCI_M,PRO-cap,9600,9727,9663,0.00013397946061862362,0.1308369517853449,768
ENCSR046BCI_M,PRO-cap,9728,9855,9791,0.0002610155863928075,0.25489342571179335,712
ENCSR046BCI_M,PRO-cap,9856,9983,9919,0.00012410437939252005,0.1211934921065971,640
ENCSR046BCI_M,PRO-cap,9984,10111,10047,0.0001718563555186847,0.16782543829615723,640
ENCSR046BCI_M,PRO-cap,10112,10239,10175,0.00013262547677186375,0.12951472583773552,640
ENCSR046BCI_M,PRO-cap,10240,10367,10303,7.6863275580763e-05,0.07506043564282025,640
ENCSR046BCI_M,PRO-cap,10368,10495,10431,0.0001291480981430897,0.1261189096589603,445
ENCSR046BCI_M,PRO-cap,10496,10623,10559,4.00120901910365e-05,0.039073600468188655,384
ENCSR046BCI_M,PRO-cap,10624,10751,10687,0.00012042413838381475,0.1175995717161795,268
ENCSR046BCI_M,PRO-cap,10752,10879,10815,0.00012509780276559468,0.1221636145818277,256
ENCSR046BCI_M,PRO-cap,10880,11007,10943,9.216400655986945e-05,0.09000228562602292,256
ENCSR046BCI_M,PRO-cap,11008,11135,11071,0.0002098918507158487,0.20496880510973672,256
ENCSR046BCI_M,PRO-cap,11136,11263,11199,0.00012142530636083393,0.11857725714447925,256
ENCSR046BCI_M,PRO-cap,11264,11391,11327,9.932786172324019e-05,0.09699811146588933,164
ENCSR046BCI_P,PRO-cap,0,127,63,0.006426880071704349,1.0,4080
ENCSR046BCI_P,PRO-cap,128,255,191,0.003601784053813617,0.5604249672669646,4096
ENCSR046BCI_P,PRO-cap,256,383,319,0.003062120798759338,0.4764552573870095,4096
ENCSR046BCI_P,PRO-cap,384,511,447,0.002778824692470039,0.432375376771753,4096
ENCSR046BCI_P,PRO-cap,512,639,575,0.002577774020117829,0.4010925972412345,4096
ENCSR046BCI_P,PRO-cap,640,767,703,0.0023025277119756993,0.35826523698692425,4096
ENCSR046BCI_P,PRO-cap,768,895,831,0.0017806697146482975,0.27706596276598644,4096
ENCSR046BCI_P,PRO-cap,896,1023,959,0.002009527987857237,0.3126755074681717,3934
ENCSR046BCI_P,PRO-cap,1024,1151,1087,0.002318238590184289,0.36070979453791385,3840
ENCSR046BCI_P,PRO-cap,1152,1279,1215,0.0019342318910806474,0.30095969887418594,3840
ENCSR046BCI_P,PRO-cap,1280,1407,1343,0.0017230405175723718,0.26809906180736265,3840
ENCSR046BCI_P,PRO-cap,1408,1535,1471,0.0014643441648937974,0.22784681658225914,3840
ENCSR046BCI_P,PRO-cap,1536,1663,1599,0.001380601004912883,0.2148166745776478,3829
ENCSR046BCI_P,PRO-cap,1664,1791,1727,0.0016103885591919292,0.2505708121553401,3712
ENCSR046BCI_P,PRO-cap,1792,1919,1855,0.0014368088049378145,0.22356241113999595,3653
ENCSR046BCI_P,PRO-cap,1920,2047,1983,0.001359780499620279,0.21157707697191833,3456
