assay_type,num_tracks,effect_at_0,threshold_10pct,threshold_5pct,rf_10pct_first_crossing_bp,rf_5pct_first_crossing_bp,rf_10pct_last_above_bp,rf_5pct_last_above_bp,effect_auc
ATAC-seq,5,0.017335256098943087,0.0017335256098943088,0.0008667628049471544,10240,11392,11008,11264,37.83822030175114
Histone ChIP-seq,4,0.01001486309128357,0.001001486309128357,0.0005007431545641785,10368,11392,11264,11264,24.98935236719773
PRO-cap,10,0.012061235690835554,0.0012061235690835554,0.0006030617845417777,9600,11392,11264,11264,30.848025881293342
eCLIP,10,0.06979320395202034,0.006979320395202034,0.003489660197601017,10496,11264,10368,11136,204.6198953973415
polyA plus RNA-seq,2,0.09211189266563594,0.009211189266563594,0.004605594633281797,9472,9600,9344,10368,213.44683056898168
total RNA-seq,3,0.0868005042791814,0.00868005042791814,0.00434002521395907,9600,11392,10368,11264,263.9026162356971
