model,br_only_mcc,delta_br_only_mcc_vs_M0,abraom_common_benign_specificity,passes_common_benign_spec_ge_0_95,abraom_pathogenic_present_recall,delta_plp_recall_vs_M0,passes_plp_not_collapsed_ge_M0_minus_0_05,global_nonbr_no_abraom_mcc,delta_global_mcc_vs_M0,global_nonbr_no_abraom_specificity,delta_global_specificity_vs_M0
M2_gnomad_only,0.30869278334458705,0.02957960586462821,0.8839573518472601,False,0.31901840490797545,-0.09815950920245398,False,0.5367919891656469,0.024587030664058984,0.6801872074882995,0.13572542901716067
M4_dynamic_gated,0.31859349963726635,0.03948032215730751,0.8694106950987684,False,0.34355828220858897,-0.07361963190184045,False,0.5474008583293484,0.0351958998277605,0.6599063962558502,0.11544461778471138
M5_dynamic_gated,0.6661711081340419,0.38705793065408306,0.9978510620712455,True,0.03680981595092025,-0.38036809815950917,False,0.399788373636363,-0.11241658486522488,0.28549141965678626,-0.2589703588143526
M7_dynamic_scrambled,0.3014585162043642,0.02234533872440536,0.8888337879163567,False,0.3128834355828221,-0.10429447852760731,False,0.538528773819855,0.026323815318267108,0.6989079563182528,0.1544461778471139
M5_v2_calibrated,0.6051392365837596,0.3260260591038007,0.9585089676832796,True,0.4355828220858895,0.018404907975460072,True,0.50006754101164,-0.0121374174899479,0.84399375975039,0.2995319812792512
