assay_type,num_tracks,gate_logit_mean,gate_logit_std,gate_logit_min,gate_logit_max,gate_value_mean,gate_value_std,gate_value_min,gate_value_max,test_pearson_mean
ATAC-seq,5,-3.700026273727417,0.040154276133633954,-3.7605576515197754,-3.657853841781616,0.024140776321291923,0.0009375315980148166,0.022741546854376793,0.02513950504362583,0.5474994441918575
Histone ChIP-seq,4,-3.7543861269950867,0.028744179293432585,-3.7775049209594727,-3.7175543308258057,0.02288574120029807,0.0006460176999757125,0.0223679356276989,0.023717140778899193,0.5605383414887682
PRO-cap,10,-3.765757131576538,0.014686784526930091,-3.7887558937072754,-3.7418594360351562,0.02262832783162594,0.0003248886609433441,0.022123221307992935,0.02316083200275898,0.38078353537256077
eCLIP,10,-3.814871573448181,0.03495071690168582,-3.865384817123413,-3.7576534748077393,0.021576356887817384,0.0007400348400267663,0.020524762570858,0.022806180641055107,0.49638881850156125
polyA plus RNA-seq,2,-3.8807973861694336,0.01313666691866354,-3.8900864124298096,-3.8715083599090576,0.0202180165797472,0.00026021991106232363,0.02003401331603527,0.02040201984345913,0.520795754607691
total RNA-seq,3,-3.846541245778402,0.027309899920735226,-3.8780107498168945,-3.8290505409240723,0.020911882321039837,0.0005549474901812789,0.020272471010684967,0.021268079057335854,0.5688678676491632
