assay_type,num_tracks,effect_at_0,threshold_10pct,threshold_5pct,rf_10pct_first_crossing_bp,rf_5pct_first_crossing_bp,rf_10pct_last_above_bp,rf_5pct_last_above_bp,effect_auc
ATAC-seq,5,0.01882325556096412,0.001882325556096412,0.000941162778048206,4864,12288,11264,12160,30.82692235124648
Histone ChIP-seq,4,0.009441045151461389,0.0009441045151461389,0.00047205225757306947,12288,12288,12160,12160,32.30854300258556
PRO-cap,10,0.012399696200404754,0.0012399696200404754,0.0006199848100202377,12160,12288,12032,12160,36.102399612513565
eCLIP,10,0.04896555756566526,0.004896555756566526,0.002448277878283263,11776,12288,11648,12160,169.65368364826512
polyA plus RNA-seq,2,0.05418592354206094,0.005418592354206095,0.0027092961771030474,12288,12288,12160,12160,177.71899262968222
total RNA-seq,3,0.06268608431126273,0.006268608431126273,0.0031343042155631364,12288,12288,12160,12160,248.19371158396612
