assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ATAC-seq,10496,10623,10559,0.0014541852993385294,0.07725471795400979,440
ATAC-seq,10624,10751,10687,0.001350616523230504,0.0717525466759017,384
ATAC-seq,10752,10879,10815,0.0008621391606690546,0.04580180925009426,384
ATAC-seq,10880,11007,10943,0.0009595138335119676,0.05097491400487694,384
ATAC-seq,11008,11135,11071,0.0014567563101384924,0.0773913048898688,384
ATAC-seq,11136,11263,11199,0.0023474758793080855,0.1247114704310931,314
ATAC-seq,11264,11391,11327,0.002101745352774742,0.11165684628611032,128
ATAC-seq,11392,11519,11455,0.0013092688542997166,0.06955591980671469,128
ATAC-seq,11520,11647,11583,0.0014308269394405215,0.07601378703096326,128
ATAC-seq,11648,11775,11711,0.0012156259726339158,0.0645810693424837,128
ATAC-seq,11776,11903,11839,0.0005497426825513685,0.029205504901682954,128
ATAC-seq,11904,12031,11967,0.0007341863943111093,0.03900421964379389,128
ATAC-seq,12032,12159,12095,0.001062020489484894,0.056420659329904865,128
ATAC-seq,12160,12287,12223,0.0010702527994306391,0.056858007158450394,71
Histone ChIP-seq,0,127,63,0.009441045151461389,1.0,4010
Histone ChIP-seq,128,255,191,0.006291073116083299,0.6663534614183576,3968
Histone ChIP-seq,256,383,319,0.005372511189160568,0.5690589445310461,3968
Histone ChIP-seq,384,511,447,0.005595855076887434,0.5927156355163968,3968
Histone ChIP-seq,512,639,575,0.005293322903584809,0.5606712835988767,3968
Histone ChIP-seq,640,767,703,0.005190728983331111,0.5498044866915643,3968
Histone ChIP-seq,768,895,831,0.005358281842012319,0.5675517653024788,3968
Histone ChIP-seq,896,1023,959,0.004825718049335504,0.511142354677599,3968
Histone ChIP-seq,1024,1151,1087,0.005051008835198637,0.5350052620410132,3784
Histone ChIP-seq,1152,1279,1215,0.005078474764214379,0.5379144663266732,3712
Histone ChIP-seq,1280,1407,1343,0.004436567106589289,0.4699233014368699,3712
Histone ChIP-seq,1408,1535,1471,0.00439920688072091,0.4659660885150997,3712
Histone ChIP-seq,1536,1663,1599,0.004257703406720197,0.4509779731390378,3712
Histone ChIP-seq,1664,1791,1727,0.003941265237129285,0.4174606914700766,3657
Histone ChIP-seq,1792,1919,1855,0.003946791754320397,0.41804606280370016,3584
Histone ChIP-seq,1920,2047,1983,0.003799828600936702,0.40247965558649224,3584
Histone ChIP-seq,2048,2175,2111,0.003855868344544433,0.4084154119258268,3584
Histone ChIP-seq,2176,2303,2239,0.0033096551986610784,0.3505602553069851,3584
Histone ChIP-seq,2304,2431,2367,0.003246622207783458,0.34388377088535693,3553
Histone ChIP-seq,2432,2559,2495,0.003418283743990792,0.36206624257714437,3456
Histone ChIP-seq,2560,2687,2623,0.0031189263190443367,0.33035816151790726,3455
Histone ChIP-seq,2688,2815,2751,0.0028678703126318464,0.3037661897197818,3328
Histone ChIP-seq,2816,2943,2879,0.002889567446590473,0.30606436048483404,3328
Histone ChIP-seq,2944,3071,3007,0.002832297164087112,0.299998264879466,3328
Histone ChIP-seq,3072,3199,3135,0.0029287340764242867,0.3102129085751639,3328
Histone ChIP-seq,3200,3327,3263,0.00248716292062022,0.26344148139522766,3241
Histone ChIP-seq,3328,3455,3391,0.0022527139675220485,0.23860853659547943,3155
Histone ChIP-seq,3456,3583,3519,0.002145486798932931,0.2272509838172767,3072
Histone ChIP-seq,3584,3711,3647,0.002594580452695204,0.2748191975645394,3034
Histone ChIP-seq,3712,3839,3775,0.002735922697668328,0.2897902354851922,2944
Histone ChIP-seq,3840,3967,3903,0.002669382362079847,0.28274225144094883,2944
Histone ChIP-seq,3968,4095,4031,0.0025606269431907845,0.27122282566294287,2944
Histone ChIP-seq,4096,4223,4159,0.0026566441279862758,0.2813930116174745,2854
Histone ChIP-seq,4224,4351,4287,0.002721604219891808,0.28827361549801805,2750
Histone ChIP-seq,4352,4479,4415,0.0025794930918868267,0.2732211371203478,2609
Histone ChIP-seq,4480,4607,4543,0.0024811158538796006,0.2628009732053391,2560
Histone ChIP-seq,4608,4735,4671,0.002680784824769944,0.2839500057210279,2560
Histone ChIP-seq,4736,4863,4799,0.0027053677156800406,0.28655383723710653,2560
Histone ChIP-seq,4864,4991,4927,0.0021944459614294965,0.23243676163224536,2453
Histone ChIP-seq,4992,5119,5055,0.0023810404358970885,0.2522009372583633,2432
Histone ChIP-seq,5120,5247,5183,0.0021943480670942287,0.23242639261761855,2432
Histone ChIP-seq,5248,5375,5311,0.002250169172333533,0.2383389906768137,2305
Histone ChIP-seq,5376,5503,5439,0.0023983232321269396,0.2540315392682664,2304
Histone ChIP-seq,5504,5631,5567,0.002329343716458728,0.24672519610799304,2304
Histone ChIP-seq,5632,5759,5695,0.002345680161221567,0.2484555601196841,2244
Histone ChIP-seq,5760,5887,5823,0.0022351939936497193,0.23675281261669756,2176
Histone ChIP-seq,5888,6015,5951,0.0021620089418107266,0.22900101706176748,2058
Histone ChIP-seq,6016,6143,6079,0.0021029365780123044,0.22274404414714494,2048
Histone ChIP-seq,6144,6271,6207,0.00193015557306353,0.2044429977929678,2048
Histone ChIP-seq,6272,6399,6335,0.001773020408795475,0.18779916633711125,2039
Histone ChIP-seq,6400,6527,6463,0.0016940277341442804,0.1794322246072576,1920
Histone ChIP-seq,6528,6655,6591,0.001698602045219265,0.17991673781544584,1853
Histone ChIP-seq,6656,6783,6719,0.0017162817613487797,0.18178938177020737,1792
Histone ChIP-seq,6784,6911,6847,0.001979398907029203,0.20965887518531884,1792
Histone ChIP-seq,6912,7039,6975,0.0017947706052966947,0.19010295751195305,1792
Histone ChIP-seq,7040,7167,7103,0.0016067050164565444,0.17018296075067926,1664
Histone ChIP-seq,7168,7295,7231,0.0018826347211590754,0.19940956652110287,1664
Histone ChIP-seq,7296,7423,7359,0.0016281164439345217,0.1724508693491953,1644
